movement,x,y,z
stop,572,-1060,14320
stop,-1480,-116,13216
stop,1512,2440,15728
stop,336,-1692,13844
stop,412,-1508,13996
stop,480,-1156,14008
stop,744,-1252,14236
stop,416,-1180,14032
stop,432,-1164,13912
stop,320,-1232,14072
stop,480,-1224,13904
stop,412,-1216,13968
stop,496,-1280,14016
stop,760,-1472,14204
stop,352,-1216,14160
stop,424,-1136,14120
stop,492,-1208,14308
stop,564,-1168,14136
stop,360,-1148,13928
stop,432,-1200,13984
stop,488,-1216,14232
stop,476,-1192,14072
stop,364,-1200,14008
stop,516,-1168,13944
stop,396,-1240,14080
stop,380,-1212,14080
stop,496,-1268,14060
stop,400,-1260,14004
stop,396,-1240,14120
stop,424,-1208,14164
stop,492,-1280,14080
stop,524,-1188,14084
stop,408,-1156,14024
stop,488,-1232,14116
stop,488,-1228,14112
stop,-1964,-2712,14072
stop,2088,-316,14536
stop,-92,-1348,14056
stop,364,-884,14180
stop,348,-856,13976
stop,504,-912,13892
stop,500,-824,13984
stop,492,-912,13992
stop,380,-856,13988
stop,352,-932,14052
stop,424,-900,13980
stop,388,-920,13892
stop,1060,-15968,26632
stop,1476,-3540,15684
stop,-372,-1272,13924
stop,620,-1508,14588
stop,256,-1060,14144
stop,300,-1008,13992
stop,420,-908,14104
stop,432,-880,14084
stop,488,-1164,13860
stop,384,-1020,14128
stop,388,-948,14140
stop,376,-1008,14028
stop,440,-972,14224
stop,484,-800,14100
stop,-2512,-13812,18032
stop,-1116,-6092,16732
stop,-632,-432,13608
stop,104,-516,13916
stop,440,-608,13912
stop,260,-616,13932
stop,424,-816,14040
stop,284,-840,13940
stop,344,-736,14048
stop,304,-740,13984
stop,400,-744,13904
stop,280,-752,14044
stop,360,-704,14248
stop,468,-524,14152
stop,372,-760,14008
stop,348,-788,14100
stop,296,-696,13956
stop,408,-728,13964
stop,420,-712,14112
stop,364,-800,14188
stop,20,-776,14008
stop,96,-684,13924
stop,264,-888,14152
stop,408,-732,14268
stop,228,-648,13988
stop,296,-708,14096
stop,436,-680,14016
stop,420,-980,14076
stop,320,-760,14144
stop,280,-712,13860
stop,308,-948,13916
stop,424,-752,14076
stop,344,-868,14172
stop,276,-768,14092
stop,456,-624,14048
stop,348,-676,14060
stop,496,-732,14056
stop,372,-748,14312
stop,336,-752,13924
stop,276,-800,14136
stop,416,-1012,13980
stop,368,-776,14212
stop,328,-636,13984
stop,416,-672,14304
stop,288,-728,14348
stop,332,-676,14052
stop,372,-760,13956
stop,360,-812,13832
stop,348,-724,14152
stop,336,-776,14240
stop,312,-716,13836
stop,432,-760,13776
stop,64,-820,14132
stop,360,-696,14292
stop,356,-668,14116
stop,292,-684,13992
stop,720,3680,13236
stop,-2608,1412,13672
stop,-84,-1588,14352
stop,136,-548,14084
stop,-516,1632,12824
stop,2052,3868,9124
stop,440,-1024,13764
stop,1388,788,19884
stop,-636,-396,14044
stop,764,-2092,14436
stop,392,-1412,13628
stop,584,-1508,13972
stop,472,-1344,14132
stop,456,-1308,14040
stop,360,-1272,13912
stop,452,-1244,13972
stop,452,-1388,14124
stop,440,-1488,14212
stop,400,-1288,13852
stop,11752,-9496,4972
stop,3520,-3820,12432
stop,416,-1484,14488
stop,4524,5664,18584
stop,-796,1876,14204
stop,1224,-908,13808
stop,84,-1036,14288
stop,408,-1220,13848
stop,504,-1032,14184
stop,444,-1164,14060
stop,400,-1060,14304
stop,440,-1200,14120
stop,464,-1216,14108
stop,452,-1108,14020
stop,460,-1124,13968
stop,424,-1260,14272
stop,440,-1208,13984
stop,-3784,-2924,18204
stop,-320,-1556,13584
stop,120,-564,13916
stop,496,-1080,14064
stop,376,-936,14240
stop,472,-900,14140
stop,380,-644,14024
stop,344,-852,13980
stop,344,-952,13972
stop,424,-1144,14184
stop,304,-896,13976
stop,-3264,-5200,12564
stop,-808,-1832,14148
stop,316,-744,14360
stop,560,-1680,14280
stop,256,-1004,14160
stop,256,-1160,14096
stop,520,-1224,14012
stop,508,-1244,14204
stop,752,-1076,14008
stop,312,-1064,14108
stop,544,-1104,13960
stop,544,-1192,13828
stop,-2876,-4476,15340
stop,544,-1816,13132
stop,760,-1028,13940
stop,312,-1272,13988
stop,500,-1072,13860
stop,552,-1128,13856
stop,452,-1096,14028
stop,456,-1040,13880
stop,464,-1264,14076
stop,-2836,-3972,13576
stop,-112,-1572,14112
stop,1248,-932,13656
stop,444,-748,14136
stop,580,-1156,14208
stop,360,-808,14292
stop,416,-1000,14112
stop,756,-848,14112
stop,-888,-3344,12816
stop,12,-752,14776
stop,464,-1244,14032
stop,400,-816,14304
stop,468,-948,14116
stop,376,-904,14032
stop,424,-772,14220
stop,448,-804,14012
stop,1828,-3716,11752
stop,1124,-1268,14308
stop,0,-580,14244
stop,760,-772,13832
stop,148,-856,14164
stop,428,-516,14060
stop,352,-780,14040
stop,356,-772,14096
stop,1564,-4376,13232
stop,-1052,-2660,14540
stop,-4,-1464,13968
stop,792,-1176,13836
stop,252,-908,13980
stop,412,-892,14260
stop,352,-780,14112
stop,416,-964,14088
stop,-1120,-3960,13696
