movement,x,y,z
foward,-893,222,1027
foward,-1322,-466,1378
foward,-455,1054,3
foward,-1195,-96,64
foward,-1397,-38,-175
foward,-1116,-812,-53
foward,1038,1807,-581
foward,-69,843,1202
foward,968,-700,234
foward,737,-435,753
foward,-52,215,590
foward,220,313,-412
foward,-1798,823,-158
foward,-841,34,-422
foward,1947,-1789,-997
foward,756,957,494
foward,-316,1627,701
foward,-1143,1631,15
foward,-2251,-771,267
foward,-808,-6879,-1921
foward,-118,12,1974
foward,-2096,1514,-1553
foward,-2064,2131,-1235
foward,-1599,373,-724
foward,-657,-608,609
foward,1372,-924,73
foward,-1833,1325,-99
foward,-968,1103,167
foward,498,491,-268
foward,433,3643,-212
foward,-1369,2215,-283
foward,-1430,-767,1361
foward,-2450,309,2064
foward,-2579,666,1238
foward,-451,-1592,1053
foward,-992,-766,427
foward,1220,23,5658
foward,627,297,-4638
foward,-3148,446,5308
foward,-800,-748,-2401
foward,2732,-140,1121
foward,1002,-585,-1019
foward,-3763,-154,-2599
foward,1257,239,-72
foward,-719,426,592
foward,-1535,65,-692
foward,-227,1406,1073
foward,-2092,-143,746
foward,-231,-1811,745
foward,2117,-153,-78
foward,-1023,1386,229
foward,-1805,258,554
foward,-289,-350,346
foward,-1996,1551,-839
foward,-1893,-1297,1509
foward,-1486,1152,-2264
foward,959,355,789
foward,-781,516,-690
foward,-177,356,964
foward,-1693,76,-685
foward,-110,329,484
foward,-1726,-1329,6541
foward,1260,172,2930
foward,-576,70,402
foward,3569,-629,6006
foward,-2738,-274,2525
foward,-1262,-1790,766
foward,-615,274,-5579
foward,-892,780,1668
foward,501,-348,5973
foward,343,383,-5698
foward,-1219,-1179,-1218
foward,615,-103,714
foward,-1426,563,-673
foward,330,-217,1190
foward,2369,410,470
foward,-1832,-9,184
foward,-2014,-1091,422
foward,-750,-369,318
foward,-1378,148,-969
foward,-2575,1620,1353
foward,-1007,-1268,37
foward,19,540,-5958
foward,-3237,271,-1171
foward,-324,638,1239
foward,-1394,763,1743
foward,-1975,-2039,514
foward,-983,560,-1004
foward,-225,-131,127
foward,-464,1008,965
foward,-1063,913,1576
foward,-1032,-823,1976
foward,-1543,-404,1617
foward,-1412,-178,1244
foward,-367,946,1914
foward,-1579,-952,-5190
